year;areakm;municipality;geocode_ibge;state
2020;0,07136417508710338;Nova Timboteua;1505007;Para
2021;0;Nova Timboteua;1505007;Para
2022;0,02411630451002321;Nova Timboteua;1505007;Para
2023;0,3590816984944766;Nova Timboteua;1505007;Para
2024;0,14870691570408962;Nova Timboteua;1505007;Para
2007;4762,9919059695085;Novo Progresso;1505031;Para
2008;235,9143489755298;Novo Progresso;1505031;Para
2009;316,7808767692498;Novo Progresso;1505031;Para
2010;50,78237877412975;Novo Progresso;1505031;Para
2011;53,14191308975218;Novo Progresso;1505031;Para
2012;74,0002579292565;Novo Progresso;1505031;Para
2013;164,23406362291547;Novo Progresso;1505031;Para
2014;115,43065776930385;Novo Progresso;1505031;Para
2015;169,63415422825716;Novo Progresso;1505031;Para
2016;140,57931302075872;Novo Progresso;1505031;Para
2017;60,57949200316838;Novo Progresso;1505031;Para
2018;192,20328883011425;Novo Progresso;1505031;Para
2019;201,1185924418175;Novo Progresso;1505031;Para
2020;364,0993826370098;Novo Progresso;1505031;Para
2021;414,17453027087834;Novo Progresso;1505031;Para
2022;261,78206939222173;Novo Progresso;1505031;Para
2023;96,5078380406235;Novo Progresso;1505031;Para
2024;62,569433004939945;Novo Progresso;1505031;Para
2007;6058,676833663391;Novo Repartimento;1505064;Para
2008;482,4494246680737;Novo Repartimento;1505064;Para
2009;285,5417515859983;Novo Repartimento;1505064;Para
2010;222,7274266335346;Novo Repartimento;1505064;Para
2011;181,86110563027108;Novo Repartimento;1505064;Para
2012;120,84901518953198;Novo Repartimento;1505064;Para
2013;150,3987667182177;Novo Repartimento;1505064;Para
2014;77,78002223307784;Novo Repartimento;1505064;Para
2015;73,55609056370832;Novo Repartimento;1505064;Para
2016;224,92473492717104;Novo Repartimento;1505064;Para
2017;121,66235066093611;Novo Repartimento;1505064;Para
2018;166,9851540208467;Novo Repartimento;1505064;Para
2019;141,160387318968;Novo Repartimento;1505064;Para
2020;154,8185387028116;Novo Repartimento;1505064;Para
2021;190,52899181595313;Novo Repartimento;1505064;Para
2022;109,36540855290059;Novo Repartimento;1505064;Para
2023;107,96710328008574;Novo Repartimento;1505064;Para
2024;69,3716791770768;Novo Repartimento;1505064;Para
2007;1727,5822225723932;Obidos;1505106;Para
2008;41,32222451692447;Obidos;1505106;Para
2009;27,678762965643433;Obidos;1505106;Para
2010;44,46252265510455;Obidos;1505106;Para
2011;15,60647257173951;Obidos;1505106;Para
2012;10,01102716188144;Obidos;1505106;Para
2013;15,492061814758301;Obidos;1505106;Para
2014;22,995968169262053;Obidos;1505106;Para
2015;13,213469430453205;Obidos;1505106;Para
2016;10,183546933810813;Obidos;1505106;Para
2017;17,94145647275551;Obidos;1505106;Para
2018;22,353729375128633;Obidos;1505106;Para
2019;34,807740742892065;Obidos;1505106;Para
2020;42,423582420096984;Obidos;1505106;Para
2021;29,569607301309933;Obidos;1505106;Para
2022;31,668325747266735;Obidos;1505106;Para
2023;23,694051804610837;Obidos;1505106;Para
2024;22,09415853404024;Obidos;1505106;Para
2007;706,2911997328996;Oeiras do Para;1505205;Para
2008;4,8942290287641805;Oeiras do Para;1505205;Para
2009;8,073349181548338;Oeiras do Para;1505205;Para
2010;56,7941502204483;Oeiras do Para;1505205;Para
2011;6,474455196452639;Oeiras do Para;1505205;Para
2012;3,2464321193742913;Oeiras do Para;1505205;Para
2013;2,3306612277935423;Oeiras do Para;1505205;Para
2014;1,868780153465509;Oeiras do Para;1505205;Para
2015;1,9329505127584328;Oeiras do Para;1505205;Para
2016;3,6222430092264832;Oeiras do Para;1505205;Para
2017;7,501540454513018;Oeiras do Para;1505205;Para
2018;1,8860470268393137;Oeiras do Para;1505205;Para
2019;2,696601384549781;Oeiras do Para;1505205;Para
2020;2,4244808619740907;Oeiras do Para;1505205;Para
2021;10,553436552877612;Oeiras do Para;1505205;Para
2022;3,288140713038122;Oeiras do Para;1505205;Para
2023;2,469565604549182;Oeiras do Para;1505205;Para
2024;6,638775967348494;Oeiras do Para;1505205;Para
2007;1419,8414653469488;Oriximina;1505304;Para
2008;29,227401799507035;Oriximina;1505304;Para
2009;17,991390967330133;Oriximina;1505304;Para
2010;37,53166402668894;Oriximina;1505304;Para
2011;12,291507463079023;Oriximina;1505304;Para
2012;4,530055690664114;Oriximina;1505304;Para
2013;8,588058480643054;Oriximina;1505304;Para
2014;8,667262029116621;Oriximina;1505304;Para
2015;13,488569701055152;Oriximina;1505304;Para
2016;11,694065394127785;Oriximina;1505304;Para
2017;11,547171275219885;Oriximina;1505304;Para
2018;14,619982745534575;Oriximina;1505304;Para
2019;20,613243749503262;Oriximina;1505304;Para
2020;24,500145306705125;Oriximina;1505304;Para
2021;17,1469359746755;Oriximina;1505304;Para
2022;14,37871248515479;Oriximina;1505304;Para
2023;15,430386012826165;Oriximina;1505304;Para
2024;15,096052164324204;Oriximina;1505304;Para
2007;485,44776449402235;Ourem;1505403;Para
2008;6,856697595262109;Ourem;1505403;Para
2009;1,7905644739598323;Ourem;1505403;Para
2010;0,1641372672375337;Ourem;1505403;Para
2011;1,1963539665998242;Ourem;1505403;Para
2012;0;Ourem;1505403;Para
2013;0,082805703586745;Ourem;1505403;Para
2014;0,09697525824796056;Ourem;1505403;Para
2015;0,3334746290942799;Ourem;1505403;Para
2016;0,6903456579634211;Ourem;1505403;Para
2017;0,597163231514147;Ourem;1505403;Para
2018;0,4102476621354166;Ourem;1505403;Para
2019;0,3032459107870423;Ourem;1505403;Para
2020;0,3335218642924712;Ourem;1505403;Para
2021;0,42357019659618145;Ourem;1505403;Para
2022;0;Ourem;1505403;Para
2023;0,4745054139581446;Ourem;1505403;Para
2024;0,4728643627534106;Ourem;1505403;Para
2007;1641,6565181640517;Ourilandia do Norte;1505437;Para
2008;20,21261239169158;Ourilandia do Norte;1505437;Para
2009;7,300103811972667;Ourilandia do Norte;1505437;Para
2010;3,0742603914747666;Ourilandia do Norte;1505437;Para
2011;5,5350612532994665;Ourilandia do Norte;1505437;Para
2012;4,619955222704689;Ourilandia do Norte;1505437;Para
2013;4,449728744934206;Ourilandia do Norte;1505437;Para
2014;5,732664360274512;Ourilandia do Norte;1505437;Para
2015;5,417866773345801;Ourilandia do Norte;1505437;Para
2016;7,5503342775298155;Ourilandia do Norte;1505437;Para
2017;13,227826801115974;Ourilandia do Norte;1505437;Para
2018;8,700346524868563;Ourilandia do Norte;1505437;Para
2019;16,40616527084439;Ourilandia do Norte;1505437;Para
2020;17,685596153526784;Ourilandia do Norte;1505437;Para
2021;14,959898811901883;Ourilandia do Norte;1505437;Para
2022;7,862605288902913;Ourilandia do Norte;1505437;Para
2023;8,888896067398218;Ourilandia do Norte;1505437;Para
2024;3,7554152856434415;Ourilandia do Norte;1505437;Para
2007;4406,7951202821105;Pacaja;1505486;Para
2008;259,11967426792995;Pacaja;1505486;Para
2009;100,05619644011394;Pacaja;1505486;Para
2010;274,1788355343391;Pacaja;1505486;Para
2011;196,71951004018038;Pacaja;1505486;Para
2012;33,65683432746204;Pacaja;1505486;Para
2013;29,859141273415474;Pacaja;1505486;Para
2014;78,51198523492585;Pacaja;1505486;Para
2015;165,63665200821538;Pacaja;1505486;Para
2016;140,54250862249916;Pacaja;1505486;Para
2017;179,26223531138956;Pacaja;1505486;Para
2018;130,22179102428524;Pacaja;1505486;Para
2019;311,9508998686556;Pacaja;1505486;Para
2020;247,24549655884792;Pacaja;1505486;Para
2021;258,1882001193284;Pacaja;1505486;Para
2022;222,08084189284452;Pacaja;1505486;Para
2023;186,34949794736104;Pacaja;1505486;Para
2024;84,47119510404104;Pacaja;1505486;Para
2007;789,9204843624161;Palestina do Para;1505494;Para
2008;8,12146996311482;Palestina do Para;1505494;Para
2009;2,9528566760119315;Palestina do Para;1505494;Para
2010;4,519482469124777;Palestina do Para;1505494;Para
2011;1,0191005521221226;Palestina do Para;1505494;Para
2012;1,1423664712101493;Palestina do Para;1505494;Para
2013;1,8452817715524217;Palestina do Para;1505494;Para
2014;1,745365361081511;Palestina do Para;1505494;Para
2015;1,2236530049830359;Palestina do Para;1505494;Para
2016;2,331206569169608;Palestina do Para;1505494;Para
2017;1,322191592543901;Palestina do Para;1505494;Para
2018;0,7725427729981087;Palestina do Para;1505494;Para
2019;1,1555662034927663;Palestina do Para;1505494;Para
2020;1,0541681386675716;Palestina do Para;1505494;Para
2021;1,1275757381611913;Palestina do Para;1505494;Para
2022;0,7436257195215897;Palestina do Para;1505494;Para
2023;0,2569710569653317;Palestina do Para;1505494;Para
2024;0,1818720499104039;Palestina do Para;1505494;Para
2007;8354,077259294902;Paragominas;1505502;Para
2008;63,22927546831113;Paragominas;1505502;Para
2009;120,42730149152892;Paragominas;1505502;Para
2010;67,62637372176677;Paragominas;1505502;Para
2011;35,12785024099167;Paragominas;1505502;Para
2012;17,08157402702883;Paragominas;1505502;Para
2013;30,58803186876093;Paragominas;1505502;Para
2014;19,73707379062117;Paragominas;1505502;Para
2015;24,023906364783695;Paragominas;1505502;Para
2016;19,900738604210435;Paragominas;1505502;Para
2017;19,59805115593924;Paragominas;1505502;Para
2018;18,072431223113472;Paragominas;1505502;Para
2019;25,791565655636706;Paragominas;1505502;Para
2020;19,560309611395475;Paragominas;1505502;Para
2021;31,198829312230448;Paragominas;1505502;Para
2022;47,033977957822394;Paragominas;1505502;Para
2023;31,587648815225275;Paragominas;1505502;Para
2024;33,92331464341181;Paragominas;1505502;Para
2007;1269,338847224435;Parauapebas;1505536;Para
2008;27,95903050237222;Parauapebas;1505536;Para
2009;4,855791583422237;Parauapebas;1505536;Para
2010;4,206646823391979;Parauapebas;1505536;Para
2011;2,342749167448836;Parauapebas;1505536;Para
2012;4,242166549294509;Parauapebas;1505536;Para
2013;4,122189792025868;Parauapebas;1505536;Para
2014;1,4178757712991812;Parauapebas;1505536;Para
2015;1,790703924491208;Parauapebas;1505536;Para
2016;5,895051387497647;Parauapebas;1505536;Para
2017;1,5169572942368286;Parauapebas;1505536;Para
2018;2,6309787296364946;Parauapebas;1505536;Para
2019;4,534365464860702;Parauapebas;1505536;Para
2020;4,079815950798478;Parauapebas;1505536;Para
2021;7,2844496166678425;Parauapebas;1505536;Para
2022;4,161525364096048;Parauapebas;1505536;Para
2023;2,931986457753563;Parauapebas;1505536;Para
2024;2,9193569394984866;Parauapebas;1505536;Para
2007;912,953869370495;Pau D'Arco;1505551;Para
2008;10,784135155502138;Pau D'Arco;1505551;Para
2009;4,630579700192831;Pau D'Arco;1505551;Para
2010;1,074549014169911;Pau D'Arco;1505551;Para
2011;2,4798986611071343;Pau D'Arco;1505551;Para
2012;1,25494748270021;Pau D'Arco;1505551;Para
2013;1,4988611869311457;Pau D'Arco;1505551;Para
2014;0,9975541479488738;Pau D'Arco;1505551;Para
2015;0,607408520812875;Pau D'Arco;1505551;Para
2016;0,5588343082908098;Pau D'Arco;1505551;Para
2017;0,48464714727760083;Pau D'Arco;1505551;Para
2018;0,42739219018392793;Pau D'Arco;1505551;Para
2019;1,4202414933449057;Pau D'Arco;1505551;Para
2020;2,9546525786717024;Pau D'Arco;1505551;Para
2021;3,905181450075455;Pau D'Arco;1505551;Para
2022;1,6239864464061105;Pau D'Arco;1505551;Para
2023;4,737266633607639;Pau D'Arco;1505551;Para
2024;2,312583972487861;Pau D'Arco;1505551;Para
2007;355,1047269286873;Peixe-Boi;1505601;Para
2008;3,8155183707726135;Peixe-Boi;1505601;Para
2009;0,135985949338054;Peixe-Boi;1505601;Para
2010;0,5097735795484402;Peixe-Boi;1505601;Para
2011;0,3899249375074781;Peixe-Boi;1505601;Para
2012;0,3436919601271743;Peixe-Boi;1505601;Para
2013;0,48978533887587583;Peixe-Boi;1505601;Para
2014;0;Peixe-Boi;1505601;Para
2015;1,6205464546351105;Peixe-Boi;1505601;Para
2016;0,5276504162329476;Peixe-Boi;1505601;Para
2017;1,7865632204306967;Peixe-Boi;1505601;Para
2018;0,2655839049921169;Peixe-Boi;1505601;Para
2019;0;Peixe-Boi;1505601;Para
2020;0,2480979206410577;Peixe-Boi;1505601;Para
2021;0,31528442566431897;Peixe-Boi;1505601;Para
2022;0,14349323115779894;Peixe-Boi;1505601;Para
2023;0,29620769540339176;Peixe-Boi;1505601;Para
2024;0,5185926810820976;Peixe-Boi;1505601;Para
2007;2839,2408217334796;Picarra;1505635;Para
2008;17,12756510961447;Picarra;1505635;Para
2009;12,110151358317204;Picarra;1505635;Para
2010;11,899928756547768;Picarra;1505635;Para
2011;3,517706325733127;Picarra;1505635;Para
2012;2,3342187238673535;Picarra;1505635;Para
2013;3,548771946856165;Picarra;1505635;Para
2014;5,0725671865022735;Picarra;1505635;Para
2015;3,0931255182519655;Picarra;1505635;Para
2016;3,155440534922034;Picarra;1505635;Para
2017;2,7617386023337915;Picarra;1505635;Para
2018;3,794549328226776;Picarra;1505635;Para
2019;1,992578190271592;Picarra;1505635;Para
2020;1,605847780475626;Picarra;1505635;Para
2021;1,9129321953744336;Picarra;1505635;Para
2022;1,9370414887289833;Picarra;1505635;Para
2023;1,0635374461243186;Picarra;1505635;Para
2024;0,7176762953086916;Picarra;1505635;Para
2007;1600,7116038103309;Placas;1505650;Para
2008;85,71140394030368;Placas;1505650;Para
2009;39,519442605958226;Placas;1505650;Para
2010;56,32447911307549;Placas;1505650;Para
2011;39,95687840866559;Placas;1505650;Para
2012;79,57862357805135;Placas;1505650;Para
2013;24,798523380405168;Placas;1505650;Para
2014;53,360894950860995;Placas;1505650;Para
2015;88,85537533420504;Placas;1505650;Para
2016;67,65046777805205;Placas;1505650;Para
2017;87,90021863520188;Placas;1505650;Para
2018;90,25614600967275;Placas;1505650;Para
2019;104,80895977438693;Placas;1505650;Para
2020;85,86542497840357;Placas;1505650;Para
2021;141,31495733850048;Placas;1505650;Para
2022;141,23908190653765;Placas;1505650;Para
2023;63,581698212588236;Placas;1505650;Para
2024;52,5457095717727;Placas;1505650;Para
2007;72,72869090679671;Ponta de Pedras;1505700;Para
2008;0;Ponta de Pedras;1505700;Para
2009;0,40382939578258115;Ponta de Pedras;1505700;Para
2010;0,08281031081900186;Ponta de Pedras;1505700;Para
2011;0,2189624845503868;Ponta de Pedras;1505700;Para
2012;0;Ponta de Pedras;1505700;Para
2013;0;Ponta de Pedras;1505700;Para
2014;0;Ponta de Pedras;1505700;Para
2015;0;Ponta de Pedras;1505700;Para
2016;0;Ponta de Pedras;1505700;Para
2017;0;Ponta de Pedras;1505700;Para
2018;0;Ponta de Pedras;1505700;Para
2019;0;Ponta de Pedras;1505700;Para
2020;0;Ponta de Pedras;1505700;Para
2021;0;Ponta de Pedras;1505700;Para
2022;0;Ponta de Pedras;1505700;Para
2023;0;Ponta de Pedras;1505700;Para
2024;0;Ponta de Pedras;1505700;Para
2007;1328,825013403255;Portel;1505809;Para
2008;96,67363975634203;Portel;1505809;Para
2009;30,970449850097847;Portel;1505809;Para
2010;56,08929241693574;Portel;1505809;Para
2011;73,0193576240839;Portel;1505809;Para
2012;12,347777346158235;Portel;1505809;Para
2013;16,986480797381496;Portel;1505809;Para
2014;60,67866079845762;Portel;1505809;Para
2015;109,66838987512571;Portel;1505809;Para
2016;178,44056137147348;Portel;1505809;Para
2017;167,57354543391844;Portel;1505809;Para
2018;96,79198562636446;Portel;1505809;Para
2019;254,23781335216492;Portel;1505809;Para
2020;189,98533423805225;Portel;1505809;Para
2021;240,64682748719042;Portel;1505809;Para
2022;315,45228860874704;Portel;1505809;Para
2023;201,15456608539967;Portel;1505809;Para
2024;106,8176493883576;Portel;1505809;Para
2007;929,8413051642815;Porto de Moz;1505908;Para
2008;22,30997758131723;Porto de Moz;1505908;Para
2009;53,86199875126614;Porto de Moz;1505908;Para
2010;31,34790190831808;Porto de Moz;1505908;Para
2011;19,35836306130685;Porto de Moz;1505908;Para
2012;20,530349129180234;Porto de Moz;1505908;Para
2013;16,010874192851862;Porto de Moz;1505908;Para
2014;21,646945840799873;Porto de Moz;1505908;Para
2015;21,6928865225044;Porto de Moz;1505908;Para
2016;20,862812665096833;Porto de Moz;1505908;Para
2017;15,055335158024452;Porto de Moz;1505908;Para
2018;35,91415841569901;Porto de Moz;1505908;Para
2019;41,57536897798767;Porto de Moz;1505908;Para
2020;32,101229600638604;Porto de Moz;1505908;Para
2021;51,245543353029355;Porto de Moz;1505908;Para
2022;41,37717826125388;Porto de Moz;1505908;Para
2023;22,388587169457697;Porto de Moz;1505908;Para
2024;16,22656055628454;Porto de Moz;1505908;Para
2007;1487,406391324421;Prainha;1506005;Para
2008;71,38274045092852;Prainha;1506005;Para
2009;34,10662792800537;Prainha;1506005;Para
2010;68,65300695319885;Prainha;1506005;Para
2011;18,157004666250305;Prainha;1506005;Para
2012;26,376731734728267;Prainha;1506005;Para
2013;27,556632189613154;Prainha;1506005;Para
2014;37,399083381270536;Prainha;1506005;Para
2015;55,12722264487217;Prainha;1506005;Para
2016;47,02619465525346;Prainha;1506005;Para
2017;67,04834978077359;Prainha;1506005;Para
2018;26,79536141022944;Prainha;1506005;Para
2019;74,94021478347463;Prainha;1506005;Para
2020;54,88330292421979;Prainha;1506005;Para
2021;66,91191872540723;Prainha;1506005;Para
2022;85,16625887428467;Prainha;1506005;Para
2023;56,5776791580142;Prainha;1506005;Para
2024;68,27298925232067;Prainha;1506005;Para
2007;182,2173684515035;Primavera;1506104;Para
2008;0,8680454853486571;Primavera;1506104;Para
2009;0,06751879987911533;Primavera;1506104;Para
2010;0,31939436535507804;Primavera;1506104;Para
2011;0,575614425929144;Primavera;1506104;Para
2012;0,08984437490625517;Primavera;1506104;Para
2013;0,23155303543406625;Primavera;1506104;Para
2014;0,16386592978766995;Primavera;1506104;Para
2015;0,49491521829926416;Primavera;1506104;Para
2016;0,14366744012305355;Primavera;1506104;Para
2017;0;Primavera;1506104;Para
2018;0,13956636061143515;Primavera;1506104;Para
2019;0;Primavera;1506104;Para
2020;0,4491528230419437;Primavera;1506104;Para
2021;0,06427601247102936;Primavera;1506104;Para
2022;0,25114356396237636;Primavera;1506104;Para
2023;0,07012178493653261;Primavera;1506104;Para
2024;0,5783088955132742;Primavera;1506104;Para
2007;71,46266761930704;Quatipuru;1506112;Para
2008;1,959991144938265;Quatipuru;1506112;Para
2009;0,36300517093358353;Quatipuru;1506112;Para
2010;0,37649529054679504;Quatipuru;1506112;Para
2011;0;Quatipuru;1506112;Para
2012;0,10344740170711958;Quatipuru;1506112;Para
2013;0;Quatipuru;1506112;Para
2014;0;Quatipuru;1506112;Para
2015;1,2249086287651691;Quatipuru;1506112;Para
2016;0,08556646016762033;Quatipuru;1506112;Para
2017;0,21162904469626503;Quatipuru;1506112;Para
2018;0,2053121354692649;Quatipuru;1506112;Para
2019;0;Quatipuru;1506112;Para
2020;0,07785918263773409;Quatipuru;1506112;Para
2021;0,07080757100495973;Quatipuru;1506112;Para
2022;0;Quatipuru;1506112;Para
2023;0,17198837528161132;Quatipuru;1506112;Para
2024;0,1451571412084316;Quatipuru;1506112;Para
2007;2637,3595009890237;Redencao;1506138;Para
2008;8,246956805820918;Redencao;1506138;Para
2009;2,9168703722114544;Redencao;1506138;Para
2010;1,170106282893212;Redencao;1506138;Para
2011;1,0527353027666846;Redencao;1506138;Para
2012;2,3018645746616957;Redencao;1506138;Para
2013;1,3097502789925834;Redencao;1506138;Para
2014;0,38884748402619335;Redencao;1506138;Para
2015;0,19221663103706876;Redencao;1506138;Para
2016;0,6324658948002821;Redencao;1506138;Para
2017;0,33537735494193405;Redencao;1506138;Para
2018;0,30590064836722897;Redencao;1506138;Para
2019;1,262015945990088;Redencao;1506138;Para
2020;0,22101787919104762;Redencao;1506138;Para
2021;0,4067062823222166;Redencao;1506138;Para
2022;0,10602023780189516;Redencao;1506138;Para
2023;0,29806517759266943;Redencao;1506138;Para
2024;0,07223016102254869;Redencao;1506138;Para
2007;3331,625433710962;Rio Maria;1506161;Para
2008;15,348005664759334;Rio Maria;1506161;Para
2009;6,769970595340364;Rio Maria;1506161;Para
2010;3,9784122018904533;Rio Maria;1506161;Para
2011;2,7789280378110393;Rio Maria;1506161;Para
2012;2,2822922581549183;Rio Maria;1506161;Para
2013;8,68586448491723;Rio Maria;1506161;Para
2014;3,9566813714817837;Rio Maria;1506161;Para
2015;4,842593306576462;Rio Maria;1506161;Para
2016;7,336855550657797;Rio Maria;1506161;Para
2017;6,217710310258101;Rio Maria;1506161;Para
2018;7,316309785116957;Rio Maria;1506161;Para
2019;6,0908802887260025;Rio Maria;1506161;Para
2020;11,72146180974621;Rio Maria;1506161;Para
2021;5,840691414558167;Rio Maria;1506161;Para
2022;8,120850666360685;Rio Maria;1506161;Para
2023;8,184832685397145;Rio Maria;1506161;Para
2024;3,4417501255117586;Rio Maria;1506161;Para
2007;5260,052524630763;Rondon do Para;1506187;Para
2008;53,4877385174406;Rondon do Para;1506187;Para
2009;30,373159970733706;Rondon do Para;1506187;Para
2010;52,68430093104821;Rondon do Para;1506187;Para
2011;26,361749199588726;Rondon do Para;1506187;Para
2012;13,871105705226869;Rondon do Para;1506187;Para
2013;29,259087935405784;Rondon do Para;1506187;Para
2014;22,418849394605203;Rondon do Para;1506187;Para
2015;18,953276927207856;Rondon do Para;1506187;Para
2016;26,43156143294069;Rondon do Para;1506187;Para
2017;19,24687699305595;Rondon do Para;1506187;Para
2018;24,222442718627494;Rondon do Para;1506187;Para
2019;34,0867536678535;Rondon do Para;1506187;Para
2020;36,28314514513152;Rondon do Para;1506187;Para
2021;34,57978333862743;Rondon do Para;1506187;Para
2022;46,80321661303887;Rondon do Para;1506187;Para
2023;35,9261296096366;Rondon do Para;1506187;Para
2024;42,24856923680713;Rondon do Para;1506187;Para
2007;1690,2811797006698;Ruropolis;1506195;Para
2008;49,28925240863422;Ruropolis;1506195;Para
2009;29,900804410432894;Ruropolis;1506195;Para
2010;32,06162928307224;Ruropolis;1506195;Para
2011;40,98226564721345;Ruropolis;1506195;Para
2012;40,618790509703935;Ruropolis;1506195;Para
2013;18,760727540328972;Ruropolis;1506195;Para
2014;34,86861338158988;Ruropolis;1506195;Para
2015;30,879886694991427;Ruropolis;1506195;Para
2016;27,832353386425257;Ruropolis;1506195;Para
2017;42,861243917849905;Ruropolis;1506195;Para
2018;50,0432982817979;Ruropolis;1506195;Para
2019;108,7210627060869;Ruropolis;1506195;Para
2020;98,56509604354501;Ruropolis;1506195;Para
2021;169,47251424392144;Ruropolis;1506195;Para
2022;118,14159487940732;Ruropolis;1506195;Para
2023;39,907356990068074;Ruropolis;1506195;Para
2024;25,289283083681692;Ruropolis;1506195;Para
2007;26,52395347919355;Salinopolis;1506203;Para
2008;0,7827369082515797;Salinopolis;1506203;Para
2009;1,8449499154436186;Salinopolis;1506203;Para
2010;2,139675749374695;Salinopolis;1506203;Para
2011;0,40468827779497607;Salinopolis;1506203;Para
2012;0,28853607675492243;Salinopolis;1506203;Para
2013;1,7157439490815445;Salinopolis;1506203;Para
2014;0;Salinopolis;1506203;Para
2015;1,169263013093323;Salinopolis;1506203;Para
2016;0,20714435346157872;Salinopolis;1506203;Para
2017;0,09215947466296288;Salinopolis;1506203;Para
2018;0,2748663776839083;Salinopolis;1506203;Para
2019;1,1491872783721355;Salinopolis;1506203;Para
2020;0;Salinopolis;1506203;Para
2021;0,8932505969904935;Salinopolis;1506203;Para
2022;0,34323629208121176;Salinopolis;1506203;Para
2023;0;Salinopolis;1506203;Para
2024;0,20358570294400696;Salinopolis;1506203;Para
2007;111,287061401806;Salvaterra;1506302;Para
2008;0,26248597537502505;Salvaterra;1506302;Para
2009;2,160357560526658;Salvaterra;1506302;Para
2010;4,9995322985357245;Salvaterra;1506302;Para
2011;1,0575428590896516;Salvaterra;1506302;Para
2012;0,43503656996967394;Salvaterra;1506302;Para
2013;0,533472526814908;Salvaterra;1506302;Para
2014;0,5414953161788538;Salvaterra;1506302;Para
2015;0,07321207663586653;Salvaterra;1506302;Para
2016;0,24521799070851277;Salvaterra;1506302;Para
2017;2,4375197908959656;Salvaterra;1506302;Para
2018;0,11723713624133175;Salvaterra;1506302;Para
2019;0,26052465417450293;Salvaterra;1506302;Para
2020;0,08101095838416143;Salvaterra;1506302;Para
2021;0,3526223057280532;Salvaterra;1506302;Para
2022;0;Salvaterra;1506302;Para
2023;0,19479228002912632;Salvaterra;1506302;Para
2024;0,06634579246224309;Salvaterra;1506302;Para
2007;160,98313922812943;Santa Barbara do Para;1506351;Para
2008;1,3420869540997509;Santa Barbara do Para;1506351;Para
2009;0;Santa Barbara do Para;1506351;Para
2010;0,34186312666231944;Santa Barbara do Para;1506351;Para
2011;0,097899286951062;Santa Barbara do Para;1506351;Para
2012;0;Santa Barbara do Para;1506351;Para
2013;0,236878854203519;Santa Barbara do Para;1506351;Para
2014;0;Santa Barbara do Para;1506351;Para
2015;0,10957215625129882;Santa Barbara do Para;1506351;Para
2016;0,08180710128707139;Santa Barbara do Para;1506351;Para
2017;0,16604877643458044;Santa Barbara do Para;1506351;Para
2018;0,23017928981934663;Santa Barbara do Para;1506351;Para
2019;0,4372810742999046;Santa Barbara do Para;1506351;Para
2020;0,3206325901622885;Santa Barbara do Para;1506351;Para
2021;0,095160572629699;Santa Barbara do Para;1506351;Para
2022;0;Santa Barbara do Para;1506351;Para
2023;0;Santa Barbara do Para;1506351;Para
2024;0,06858738138471504;Santa Barbara do Para;1506351;Para
2007;0;Santa Cruz do Arari;1506401;Para
2008;0;Santa Cruz do Arari;1506401;Para
2009;0;Santa Cruz do Arari;1506401;Para
2010;0;Santa Cruz do Arari;1506401;Para
2011;0;Santa Cruz do Arari;1506401;Para
2012;0;Santa Cruz do Arari;1506401;Para
2013;0;Santa Cruz do Arari;1506401;Para
2014;0;Santa Cruz do Arari;1506401;Para
2015;0;Santa Cruz do Arari;1506401;Para
2016;0;Santa Cruz do Arari;1506401;Para
2017;0;Santa Cruz do Arari;1506401;Para
2018;0;Santa Cruz do Arari;1506401;Para
2019;0;Santa Cruz do Arari;1506401;Para
2020;0;Santa Cruz do Arari;1506401;Para
2021;0;Santa Cruz do Arari;1506401;Para
2022;0;Santa Cruz do Arari;1506401;Para
2023;0;Santa Cruz do Arari;1506401;Para
2024;0;Santa Cruz do Arari;1506401;Para
2007;542,1843000844804;Santa Izabel do Para;1506500;Para
2008;1,3264112487352382;Santa Izabel do Para;1506500;Para
2009;0,13619237631546188;Santa Izabel do Para;1506500;Para
2010;0,2181123343772218;Santa Izabel do Para;1506500;Para
2011;0,3640006135534308;Santa Izabel do Para;1506500;Para
2012;0,06761597230116256;Santa Izabel do Para;1506500;Para
2013;0,9795284915219014;Santa Izabel do Para;1506500;Para
2014;0,14959265412053047;Santa Izabel do Para;1506500;Para
2015;0,46694742034563874;Santa Izabel do Para;1506500;Para
2016;0,8343911723787195;Santa Izabel do Para;1506500;Para
2017;1,7048984027262581;Santa Izabel do Para;1506500;Para
2018;0,4590926407482985;Santa Izabel do Para;1506500;Para
2019;0;Santa Izabel do Para;1506500;Para
2020;0,3511561423893383;Santa Izabel do Para;1506500;Para
2021;0,49678163435323736;Santa Izabel do Para;1506500;Para
2022;0,2263458588616969;Santa Izabel do Para;1506500;Para
2023;0;Santa Izabel do Para;1506500;Para
2024;0,44945047477906697;Santa Izabel do Para;1506500;Para
2007;1216,672934685293;Santa Luzia do Para;1506559;Para
2008;5,6033334932619745;Santa Luzia do Para;1506559;Para
2009;8,812359294974552;Santa Luzia do Para;1506559;Para
2010;1,0019280336077052;Santa Luzia do Para;1506559;Para
2011;0,3399046740325922;Santa Luzia do Para;1506559;Para
2012;0;Santa Luzia do Para;1506559;Para
2013;0;Santa Luzia do Para;1506559;Para
2014;0,7469982227839187;Santa Luzia do Para;1506559;Para
2015;0;Santa Luzia do Para;1506559;Para
2016;0;Santa Luzia do Para;1506559;Para
