codigo;id_mun;ano;valor
1501303;18;2016;647179.90
1501303;18;2017;1230928.10
1501303;18;2018;1207040.90
1501303;18;2019;1253829.80
1501303;18;2020;1326710.40
1501303;18;2021;1700741.00
1501303;18;2022;2093798.00
1501303;18;2023;2165129.00
1501303;18;2024;2341048.00
1501402;19;2014;126030.97
1501402;19;2015;301422.30
1501402;19;2016;758541.49
1501402;19;2017;1230929.20
1501402;19;2018;1238120.01
1501402;19;2019;1245241.89
1501402;19;2020;1305503.99
1501402;19;2021;1580798.00
1501402;19;2022;2022911.00
1501402;19;2023;2321321.00
1501402;19;2024;2439931.00
1501451;20;2014;412045.80
1501451;20;2015;885703.49
1501451;20;2016;1293967.70
1501451;20;2017;1230929.49
1501451;20;2018;1296506.90
1501451;20;2019;1317716.90
1501451;20;2020;1403149.20
1501451;20;2021;1911929.00
1501451;20;2022;3401159.00
1501451;20;2023;3433530.00
1501451;20;2024;3822787.00
1501501;21;2014;141903.19
1501501;21;2015;237478.10
1501501;21;2016;370580.30
1501501;21;2017;1230927.30
1501501;21;2018;1099099.29
1501501;21;2019;1244767.90
1501501;21;2020;1318165.41
1501501;21;2021;1695606.00
1501501;21;2022;1823815.00
1501501;21;2023;1642006.00
1501501;21;2024;1850524.00
1501576;22;2014;382381.10
1501576;22;2015;585455.09
1501576;22;2016;850229.11
1501576;22;2017;715595.90
1501576;22;2018;1218420.20
1501576;22;2019;1372118.00
1501576;22;2020;1482219.60
1501576;22;2021;1751195.00
1501576;22;2022;1948300.00
1501576;22;2023;1942551.00
1501576;22;2024;2729224.00
1501600;23;2014;107367.85
1501600;23;2015;224682.40
1501600;23;2016;178048.20
1501600;23;2017;500859.70
1501600;23;2018;1067548.00
1501600;23;2019;1257003.40
1501600;23;2020;1314309.09
1501600;23;2021;1611706.00
1501600;23;2022;1500386.00
1501600;23;2023;1315220.80
1501600;23;2024;1578597.00
1501709;24;2014;50463.24
1501709;24;2015;111359.45
1501709;24;2016;175596.20
1501709;24;2017;977775.61
1501709;24;2018;1059194.88
1501709;24;2019;1255363.80
1501709;24;2020;1301729.30
1501709;24;2021;1657680.00
1501709;24;2022;1499011.00
1501709;24;2023;1451034.50
1501709;24;2024;1786565.00
1501725;25;2014;406412.39
1501725;25;2015;701117.40
1501725;25;2016;1420297.00
1501725;25;2017;1230929.49
1501725;25;2018;1388013.90
1501725;25;2019;1553252.00
1501725;25;2020;1733504.00
1501725;25;2021;1984579.00
1501725;25;2022;2958443.00
1501725;25;2023;2775931.00
1501725;25;2024;3126234.00
1501758;26;2014;169276.90
1501758;26;2015;387653.60
1501758;26;2016;517557.10
1501758;26;2017;735545.70
1501758;26;2018;654368.30
1501758;26;2019;929711.09
1501758;26;2020;956508.40
1501758;26;2021;1084237.90
1501758;26;2022;1646111.00
1501758;26;2023;1573431.00
1501758;26;2024;1904493.00
1501782;27;2014;287038.10
1501782;27;2015;637641.10
1501782;27;2016;986953.70
1501782;27;2017;1230928.10
1501782;27;2018;1260050.70
1501782;27;2019;1457124.00
1501782;27;2020;1612182.50
1501782;27;2021;1772186.00
1501782;27;2022;1800739.00
1501782;27;2023;1814341.00
1501782;27;2024;2583051.00
1501808;28;2014;287373.80
1501808;28;2015;646477.00
1501808;28;2016;1341535.00
1501808;28;2017;1555174.00
1501808;28;2018;1501899.00
1501808;28;2019;1707790.00
1501808;28;2020;1999599.00
1501808;28;2021;2388769.00
1501808;28;2022;3337003.00
1501808;28;2023;3619964.00
1501808;28;2024;4113173.00
1501907;29;2014;147846.30
1501907;29;2015;126874.94
1501907;29;2016;580887.60
1501907;29;2017;1230927.41
1501907;29;2018;1114769.40
1501907;29;2019;1256800.20
1501907;29;2020;1317713.99
1501907;29;2021;1760290.00
1501907;29;2022;1704902.00
1501907;29;2023;1360653.50
1501907;29;2024;1726519.00
1502004;30;2014;382636.40
1502004;30;2015;812017.80
1502004;30;2016;1392751.00
1502004;30;2017;950677.20
1502004;30;2018;906732.49
1502004;30;2019;983429.89
1502004;30;2020;967769.09
1502004;30;2021;1312509.70
1502004;30;2022;2909971.00
1502004;30;2023;3601493.00
